Gene,Cluster_id,Cluster
PtXG07980,4,C4_Late_up
PtXG08170,4,C4_Late_up
PtXG32920,3,C3_Early_peak_late_drop
PtXG32970,1,C1_Early_transient_up
PtXG32990,1,C1_Early_transient_up
PtXG33070,1,C1_Early_transient_up
PtXG33120,1,C1_Early_transient_up
PtXG33130,3,C3_Early_peak_late_drop
PtXG42230,3,C3_Early_peak_late_drop
PtJG39710,4,C4_Late_up
PtQG28730,4,C4_Late_up
PtQG36230,4,C4_Late_up
PtQG38110,4,C4_Late_up
Pt1G00300,3,C3_Early_peak_late_drop
Pt1G00610,2,C2_Gradual_decline
Pt1G01470,1,C1_Early_transient_up
Pt1G02220,2,C2_Gradual_decline
Pt1G06430,3,C3_Early_peak_late_drop
Pt1G07990,3,C3_Early_peak_late_drop
Pt1G08240,3,C3_Early_peak_late_drop
Pt1G08330,2,C2_Gradual_decline
Pt1G08530,2,C2_Gradual_decline
Pt1G09350,3,C3_Early_peak_late_drop
Pt1G09600,3,C3_Early_peak_late_drop
Pt1G09900,3,C3_Early_peak_late_drop
Pt1G09930,2,C2_Gradual_decline
Pt1G13500,3,C3_Early_peak_late_drop
Pt1G13900,2,C2_Gradual_decline
Pt1G14930,1,C1_Early_transient_up
Pt1G14960,1,C1_Early_transient_up
Pt1G15150,2,C2_Gradual_decline
Pt1G15230,4,C4_Late_up
Pt1G15880,4,C4_Late_up
Pt1G15930,4,C4_Late_up
Pt1G18690,3,C3_Early_peak_late_drop
Pt1G19050,3,C3_Early_peak_late_drop
Pt1G21920,3,C3_Early_peak_late_drop
Pt1G22000,3,C3_Early_peak_late_drop
Pt1G22020,2,C2_Gradual_decline
Pt1G22030,2,C2_Gradual_decline
Pt1G22170,3,C3_Early_peak_late_drop
Pt1G22180,2,C2_Gradual_decline
Pt1G22880,1,C1_Early_transient_up
Pt1G24140,2,C2_Gradual_decline
Pt1G25290,1,C1_Early_transient_up
Pt1G34100,3,C3_Early_peak_late_drop
Pt1G34720,3,C3_Early_peak_late_drop
Pt1G60640,1,C1_Early_transient_up
Pt1G60660,1,C1_Early_transient_up
Pt1G72600,2,C2_Gradual_decline
Pt1G74890,4,C4_Late_up
Pt1G76950,4,C4_Late_up
Pt1G78450,4,C4_Late_up
Pt1G78510,4,C4_Late_up
Pt1G79690,2,C2_Gradual_decline
Pt2G02480,4,C4_Late_up
Pt2G04340,3,C3_Early_peak_late_drop
Pt2G04580,2,C2_Gradual_decline
Pt2G05400,1,C1_Early_transient_up
Pt2G05640,3,C3_Early_peak_late_drop
Pt2G05760,3,C3_Early_peak_late_drop
Pt2G06480,3,C3_Early_peak_late_drop
Pt2G06520,3,C3_Early_peak_late_drop
Pt2G06580,3,C3_Early_peak_late_drop
Pt2G06800,2,C2_Gradual_decline
Pt2G08710,3,C3_Early_peak_late_drop
Pt2G08770,2,C2_Gradual_decline
Pt2G08870,3,C3_Early_peak_late_drop
Pt2G10110,3,C3_Early_peak_late_drop
Pt2G15660,1,C1_Early_transient_up
Pt2G16200,1,C1_Early_transient_up
Pt2G21430,1,C1_Early_transient_up
Pt2G49460,4,C4_Late_up
Pt2G56790,3,C3_Early_peak_late_drop
Pt2G65800,3,C3_Early_peak_late_drop
Pt2G68520,1,C1_Early_transient_up
Pt3G01020,4,C4_Late_up
Pt3G02830,3,C3_Early_peak_late_drop
Pt3G13840,4,C4_Late_up
Pt3G13850,4,C4_Late_up
Pt3G27200,4,C4_Late_up
Pt3G27330,4,C4_Late_up
Pt3G27340,2,C2_Gradual_decline
Pt3G27410,4,C4_Late_up
Pt3G27520,4,C4_Late_up
Pt3G27530,4,C4_Late_up
Pt3G27620,2,C2_Gradual_decline
Pt4G05600,3,C3_Early_peak_late_drop
Pt4G16580,1,C1_Early_transient_up
Pt4G20810,3,C3_Early_peak_late_drop
Pt4G21080,4,C4_Late_up
Pt4G22210,4,C4_Late_up
Pt4G22670,3,C3_Early_peak_late_drop
Pt4G26560,4,C4_Late_up
Pt4G42310,2,C2_Gradual_decline
Pt4G49870,2,C2_Gradual_decline
Pt5G01640,4,C4_Late_up
Pt5G22860,4,C4_Late_up
Pt5G50680,2,C2_Gradual_decline
Pt5G50990,3,C3_Early_peak_late_drop
Pt5G51100,2,C2_Gradual_decline
Pt5G51120,2,C2_Gradual_decline
Pt5G51150,2,C2_Gradual_decline
Pt5G51330,2,C2_Gradual_decline
Pt5G51400,2,C2_Gradual_decline
Pt5G54660,2,C2_Gradual_decline
Pt5G54760,2,C2_Gradual_decline
Pt5G55820,2,C2_Gradual_decline
Pt5G55860,4,C4_Late_up
Pt5G55930,2,C2_Gradual_decline
Pt5G57220,4,C4_Late_up
Pt5G58110,3,C3_Early_peak_late_drop
Pt6G12600,2,C2_Gradual_decline
Pt6G12670,2,C2_Gradual_decline
Pt6G18850,3,C3_Early_peak_late_drop
Pt6G22220,1,C1_Early_transient_up
Pt6G22270,4,C4_Late_up
Pt6G22300,4,C4_Late_up
Pt6G22940,2,C2_Gradual_decline
Pt6G24410,4,C4_Late_up
Pt6G46190,3,C3_Early_peak_late_drop
Pt6G46940,4,C4_Late_up
Pt6G47210,4,C4_Late_up
Pt6G47310,4,C4_Late_up
Pt6G47500,4,C4_Late_up
Pt6G49390,2,C2_Gradual_decline
Pt6G49720,4,C4_Late_up
Pt6G53830,1,C1_Early_transient_up
Pt6G54320,3,C3_Early_peak_late_drop
Pt6G54520,1,C1_Early_transient_up
Pt6G60980,2,C2_Gradual_decline
Pt6G61680,1,C1_Early_transient_up
Pt6G63200,4,C4_Late_up
Pt6G63270,2,C2_Gradual_decline
Pt7G00250,4,C4_Late_up
Pt7G00690,1,C1_Early_transient_up
Pt7G02280,4,C4_Late_up
Pt7G02440,1,C1_Early_transient_up
Pt7G02610,4,C4_Late_up
Pt7G02620,4,C4_Late_up
Pt7G02680,1,C1_Early_transient_up
Pt7G08820,1,C1_Early_transient_up
